precio,preciom2
595,7.93333333333333
595,7.93333333333333
1150,5.60975609756098
600,6.31578947368421
600,6.31578947368421
700,10.1449275362319
780,9.75
690,10.952380952381
700,10.1449275362319
650,8.66666666666667
750,5.72519083969466
750,8.82352941176471
690,7.26315789473684
750,8.82352941176471
700,10.1449275362319
780,9.75
650,10
650,8.125
550,7.33333333333333
580,6.74418604651163
650,9.55882352941176
650,10
650,9.55882352941176
550,7.33333333333333
700,8.23529411764706
720,10.2857142857143
650,9.28571428571429
700,5.18518518518519
700,7.21649484536083
700,5.6
700,6.36363636363636
600,10.9090909090909
740,11.044776119403
650,9.55882352941176
600,10.9090909090909
740,11.044776119403
620,7.5609756097561
620,7.5609756097561
600,10.9090909090909
620,7.5609756097561
620,7.5609756097561
620,7.5609756097561
620,7.5609756097561
220,14.6666666666667
800,8
800,8.88888888888889
750,9.14634146341463
650,7.64705882352941
675,9.64285714285714
750,9.14634146341463
270,13.5
650,8.125
550,7.33333333333333
600,8.57142857142857
800,8
